feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,319.118698821035,15.5,111.08771481575667,25.576281857938405,17.11720338877987,65.48191513164143,72.2418207044555,55.0,27.373787089018975,50.62463523558318,20.69946078954101,55.0,0,0,3.7640000000000002,-145.50600000000003,4.07,20,beauce_5_sa_020
3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,283.0048893801071,25.605803819874538,110.70149395161314,23.341030991539256,53.81744667022649,137.97204623524246,40.23795734067794,43.276082764910626,15.924039660090422,13.430235307137472,15.795272146901189,81.11719057162749,0,0,3.418,-295.57399999999996,4.5249999999999995,21,beauce_5_sa_021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.73803440090614,15.5,175.0,30.5,30.5,36.41075889024945,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.626,-120.832,3.505,22,beauce_5_sa_022
0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0378463676224,5.1524327071662395,175.0,30.5,30.5,20.115854155936443,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.247999999999999,-121.532,3.77,23,beauce_5_sa_023
3.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,283.4176553340269,24.991771641029256,196.77486077911055,41.054394844905005,59.6765503473469,185.3966768534905,36.31080937863251,55.0,54.80512573263852,55.0,76.66162606579061,55.0,0,0,3.482,-311.654,4.465,24,beauce_5_sa_024
1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,315.662556862717,4.2667701957451065,234.5246308734688,30.5,30.5,81.62417591260251,68.00228205805762,44.73161243197943,55.0,55.0,55.0,55.0,0,0,4.238,-306.62600000000003,4.35,25,beauce_5_sa_025
1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.43719130329526,7.5093223769901485,189.19587171042355,30.5,30.5,143.3714424183543,64.3288642913947,55.0,55.0,55.0,55.0,55.0,0,0,3.9859999999999998,-309.746,4.38,26,beauce_5_sa_026
1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,308.6838305258033,3.0784761310511906,234.53772141001545,30.5,30.5,85.56194869450854,27.16209700581778,63.5958011167988,55.0,55.0,55.0,55.0,0,0,4.242,-309.142,4.35,27,beauce_5_sa_027
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.89831477537723,15.5,175.0,30.5,30.5,55.01652831164936,55.0,55.0,55.0,55.0,55.0,55.0,0,0,3.414,-118.13399999999999,3.635,28,beauce_5_sa_028
1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.38733004549294,24.40079203586809,110.35829600059634,30.5,30.5,171.3595109193405,44.11201817017982,55.0,55.0,55.0,55.0,55.0,0,0,2.366,-212.36999999999998,4.635,29,beauce_5_sa_029
2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.4703424780279,15.5,239.51230320147337,54.116515602251965,30.5,134.0985664454666,10.8938628073777,55.0,23.000218504501177,55.0,55.0,55.0,0,0,4.31,-356.028,4.205,30,beauce_5_sa_030
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,262.69510565582306,15.5,234.51738426905544,49.91901524299364,14.94465480829098,90.69480308041996,70.80820916516092,55.0,62.056764006828125,43.37201373005337,97.65329252973378,31.88575906210551,0,0,4.156000000000001,-359.684,4.279999999999999,31,beauce_5_sa_031
3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,272.38642936391807,15.5,192.93516281350293,48.9232054571747,49.23071550968499,110.34891538923395,58.95036925843126,13.64890960814908,54.79007800686228,55.0,96.97783066114496,89.43444816709741,0,0,4.362,-357.102,4.17,32,beauce_5_sa_032
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.3493855901168,15.5,175.0,30.5,30.5,79.04695166887034,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.726,-121.03800000000001,3.4699999999999998,33,beauce_5_sa_033
2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,293.53057773950934,15.5,147.8369888439091,22.930156365431657,30.5,119.71123865712639,28.80719801824156,32.31891833698408,60.135599159437405,55.0,55.0,55.0,0,0,3.2620000000000005,-239.102,4.445,34,beauce_5_sa_034
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,295.2902873972654,20.720256886383684,217.39068384550635,30.5,30.5,38.13484320463303,99.53488145624043,55.0,55.0,55.0,55.0,55.0,0,0,2.836,-179.79000000000002,4.485,35,beauce_5_sa_035
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.47757041577296,15.5,175.0,30.5,30.5,42.692374145598166,55.0,55.0,55.0,55.0,55.0,55.0,0,0,3.104,-121.042,3.745,36,beauce_5_sa_036
2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,261.0309063039561,15.5,120.11741154842909,48.29454387228908,30.5,39.608313816646046,20.624291530005763,94.05233762363945,77.41704770251623,36.980127677869234,55.0,55.0,0,0,2.564,-130.698,3.9699999999999998,37,beauce_5_sa_037
1.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,306.3901707568074,12.567130276926331,101.0575711990333,30.5,30.5,130.3981645862976,74.71113201054398,55.0,55.0,55.0,55.0,55.0,0,0,3.6480000000000006,-149.976,4.085,38,beauce_5_sa_038
